ID,date,DnInv,VC,Item,code,In,Out,Balance
238,8/5/2019,257,Rehana Royal,??? ??????? ???? 300??3,67174,0,780,1320
239,8/5/2019,257,Rehana Royal,??? ??????? ????,66169,0,500,0
240,8/5/2019,257,Rehana Royal,????? ???? ????? ????,62144,0,10000,30000
241,8/5/2019,259,Fayrouz,??? ????? ??????,77153,0,1800,0
242,8/5/2019,260,Sharm Dreams,??? ??????? ???? 300??3,67174,0,300,1020
243,8/5/2019,261,Aqua Park (Al batrous),??? ?????????? ???? 75 ??3,77251,0,25000,226000
244,8/5/2019,262,Alflelawelala,??? ?????????? ???? 75 ??3,77251,0,25000,201000
245,8/5/2019,263,Blue Bay,??? ???? 300 ??,66176,0,2544,2496
246,8/5/2019,264,Coral Sea Orintal,??? ?????????? ???? 75 ??3,77251,0,20000,181000
247,8/5/2019,265,Mirabel,??? ?????????? ???? 75 ??3,77251,0,0,180990
248,8/5/2019,265,Mirabel,????? ???? 110 ??,70152,0,50000,675000
249,8/5/2019,265,Mirabel,????? ?????? ?????  96 ??,78153,0,48000,201000
250,8/5/2019,266,Parrotel Beach,??? ?????????? ???? 75 ??3,77251,0,15000,165990
251,8/5/2019,266,Parrotel Beach,??? ???? ??????,66177,0,360,1860
252,8/5/2019,266,Parrotel Beach,???? ????,62154,0,4000,36000
253,8/5/2019,266,Parrotel Beach,????? ?????? ?????  96 ??,78153,0,18000,183000
254,8/5/2019,267,Parrotel Aqua Park,??? ?????????? ???? 75 ??3,77251,0,5000,160990
255,8/5/2019,267,Parrotel Aqua Park,????? ?????? ?????  96 ??,78153,0,45000,138000
256,8/5/2019,265,Mirabel,??? ?????????? ???? 75 ??3,77251,0,10000,150990
257,8/6/2019,13,Medstar,?? ??? ????,78313,400,0,402
258,8/6/2019,13,Medstar,???? ??????? ????? ?????,8081,120,0,120
259,8/6/2019,13,Medstar,????? ????? 60??,8156,20,0,20
260,8/6/2019,13,Medstar,???? ???? ????? ????,60272,3000,0,3500
261,8/6/2019,13,Medstar,???? ???? ??? 1 ???,51364,400,0,400
262,8/6/2019,13,Medstar,???? ??? 1 ???,51360,400,0,400
263,8/6/2019,13,Medstar,??? ??????? ????,66169,2700,0,2700
264,8/6/2019,13,Medstar,??? ???? 300 ??,66176,1200,0,3696
265,8/6/2019,13,Medstar,??? ???? ??????,66177,1440,0,3300
266,8/6/2019,268,Parcelo,??? ???? ??????,66177,0,1800,1500
267,8/6/2019,268,Parcelo,??? ??????? ????,66169,0,1500,1200
268,8/7/2019,269,Rehana Sharm,???? ??????? ????? ?????,8081,0,108,12
269,8/7/2019,269,Rehana Sharm,?? ??? ????,78313,0,214,188
270,8/7/2019,269,Rehana Sharm,??? ??????? ????,66169,0,500,700
271,8/7/2019,269,Rehana Sharm,????? ????? 60??,8156,0,6,14
272,8/7/2019,270,Al Cazar,???? ???? ????? ????,60272,0,3000,500
273,8/7/2019,271,Aeroangel,???? ???? ?????? ????,60331,0,15000,0
274,8/7/2019,271,Aeroangel,???? ?????? ???? 90 × 90 × 30 ??,54253,0,7000,0
275,8/7/2019,271,Aeroangel,????? ???? ????? ????,62141,0,8000,48000
276,8/22/2019,272,Magic Life,??? ??????? ???? 300??3,67174,0,600,420
277,8/22/2019,273,Parrotel Aqua Park,??? ?????????? ???? 75 ??3,77251,0,10000,141000
278,8/22/2019,274,Tamra Beach,??? ???? 180 ??,66175,0,120,1680
279,8/22/2019,275,Sunrise Arabian Beach,??? ???? ??????,66177,0,600,900
280,8/22/2019,276,Coral Sea Orintal,??? ?????????? ???? 75 ??3,77251,0,30000,111000
281,8/22/2019,276,Coral Sea Orintal,????? ?????? ?????  96 ??,78153,0,30000,108000
282,8/22/2019,277,Coral Sea imperial,???? ????? ????? ?????,1002,0,1000,2000
283,8/22/2019,278,Grand Plaza,????? ???? 110 ??,70152,0,25000,650000
284,8/24/2019,279,Island View,??? ??????? ???? 300??3,67174,0,300,120
285,8/24/2019,280,Belevader,??? ?????????? ???? 75 ??3,77251,0,10000,101000
