"ID","date","DnInv","VC","Item","code","In","Out","Balance"
352,9/10/2019 0:00:00,306,"Sharm Reef","كوب عصير 300 سم","66176",0,192,3984
353,9/11/2019 0:00:00,308,"Aeroangel","سناك بوكس ايزيس بولمان ","60255",0,8000,2000
354,9/11/2019 0:00:00,308,"Aeroangel","فنجان تركي 150","59167",0,3500,0
355,9/13/2019 0:00:00,8,"Ayman El Awamy","كوب عصير 300 سم","66176",0,288,3696
356,9/13/2019 0:00:00,8,"Ayman El Awamy","بستله كبيره بالغطاء 60لتر","2691",0,6,0
357,6/30/2019 0:00:00,306,"Medstar","علبه عسل شفاف","72153",1000,0,1270
358,9/6/2019 0:00:00,296,"Fayrouz","كوب جراند مدستار","77153",0,7200,5100
359,9/15/2019 0:00:00,16,"Al Rawda ( Farok Saleh)","باول ساندي صغيره شفافه ","1002",5000,0,6000
360,9/15/2019 0:00:00,16,"Al Rawda ( Farok Saleh)","باول ساندي كبيره شفافه ","1003",2500,0,6000
361,9/8/2019 0:00:00,302,"Rixos Seagate","باول ساندي صغيره شفافه ","1002",0,5000,-4000
362,9/8/2019 0:00:00,302,"Rixos Seagate","باول ساندي كبيره شفافه ","1003",0,2500,3500
363,9/16/2019 0:00:00,17,"Medstar","كوب عصير مارينا","66177",3000,0,3000
364,9/16/2019 0:00:00,17,"Medstar","كوب عصير 180 سم","66175",1800,0,2400
365,9/16/2019 0:00:00,17,"Medstar","ملعقة ستار كبيرة ابيض","62144",40000,0,40000
366,9/16/2019 0:00:00,17,"Medstar","سناك بوكس ايزيس بولمان ","60255",6000,0,8000
367,9/16/2019 0:00:00,17,"Medstar","كوب ريفييرا صغير","66169",2000,0,6300
368,9/16/2019 0:00:00,17,"Medstar","طبق اكروسان مسطح ساده","22163",960,0,960
369,9/16/2019 0:00:00,17,"Medstar","فرشه هارموني كبيره ناعمه","8081",54,0,54
370,9/16/2019 0:00:00,17,"Medstar","طبق كلاس مسطح ","22763",1092,0,1278
371,9/16/2019 0:00:00,17,"Medstar","كوب شفاف ايس 200 سم3","59153",25000,0,25000
372,9/16/2019 0:00:00,17,"Medstar","جالون ايس كريم","83150",30,0,30
373,9/4/2019 0:43:58,309,"Cleopatra","كوب عصير لايت  250 سم3","66171",0,432,432
374,9/16/2019 0:43:58,310,"Cleopatra","كوب عصير مارينا","66177",0,480,2520
375,9/16/2019 0:43:58,311,"Rixos Seagate","كوب شفاف ايس 200 سم3","59153",0,25000,0
376,9/16/2019 0:43:58,312,"Parcelo","كوب عصير مارينا","66177",0,1860,1140
377,9/20/2019 0:43:58,313,"Sunrise Arabian Beach","كوب عصير مارينا","66177",0,240,2760
378,9/20/2019 0:43:58,314,"Mirabel","كوب لوليتــــا توين 75 سم3","77251",0,30000,152000
379,9/4/2019 0:43:58,315,"Rehana Sharm","فرشه هارموني كبيره ناعمه","8081",0,0,30
380,9/4/2019 0:43:58,315,"Rehana Sharm","يد اوميجا 120سم","72322",0,0,94
381,9/26/2019 0:43:58,316,"Dahabia Dahab","كوب كلاس 2 ازرق","20752",0,80,2080
382,9/4/2019 0:43:58,318,"Fanara","كوب شفاف 210 جولف","1001",0,0,16000
383,9/4/2019 0:43:58,319,"Island View","كوب إليجانت شفاف 300سم3","67174",0,0,3000
384,9/4/2019 0:43:58,315,"Rehana Sharm","يد اوميجا 120سم","72322",0,80,94
385,9/29/2019 0:43:58,315,"Rehana Sharm","فرشه هارموني كبيره ناعمه","8081",0,24,54
386,9/29/2019 0:43:58,316,"Dahabia Dahab","كوب كلاس 2 ازرق","20752",0,80,2080
387,9/29/2019 0:43:58,318,"Fanara","كوب شفاف 210 جولف","1001",0,2000,18000
388,9/29/2019 0:43:58,319,"Island View","كوب إليجانت شفاف 300سم3","67174",0,300,3600
